Partition Line;********************
Full Name;ACH, Test 
Gender;Male
Age;
Birthdate;
Subject Number;
Medical Record;
Test Time;3/5/2020 2:28:26 PM
Reference;
Memo;

Time (sec.);X (sensor number);Y (sensor number);Level
39.6417;93;26;4
39.6417;88;27;1
39.6417;93;27;4
39.6417;94;27;1
39.6417;88;28;1
39.6417;93;28;2
39.6417;93;29;3
39.6417;94;29;1
39.6417;92;30;4
39.6417;89;30;1
39.6417;92;31;3
39.6417;91;31;3
39.6417;42;24;2
39.6417;42;25;3
39.6417;40;26;3
39.6417;43;26;3
39.6417;43;27;2
39.6417;40;28;3
39.6417;41;23;2
39.6417;37;24;1
39.6417;37;25;1
39.6417;38;25;3
39.6417;39;25;3
39.6417;37;26;1
39.6417;38;26;3
39.6417;38;27;1
39.6417;39;27;3
39.6417;38;28;0
39.6417;39;28;3
39.6417;38;22;1
39.6417;39;22;0
39.6417;37;23;1
39.6500;89;25;2
39.6500;93;25;1
39.6500;94;26;3
39.6500;88;27;0
39.6500;94;27;2
39.6500;88;28;0
39.6500;94;28;1
39.6500;93;29;4
39.6500;94;29;3
39.6500;93;30;2
39.6500;94;30;2
39.6500;42;24;3
39.6500;43;25;1
39.6500;40;27;3
39.6500;43;27;3
39.6500;40;28;2
39.6500;41;28;2
39.6500;42;28;1
39.6500;37;24;0
39.6500;38;24;1
39.6500;37;25;0
39.6500;38;25;1
39.6500;37;26;0
39.6500;38;26;1
39.6500;39;26;3
39.6500;38;27;0
39.6500;39;27;2
39.6500;39;28;1
39.6500;38;22;0
39.6500;37;23;0
39.6500;38;23;1
39.6500;39;23;3
39.6583;89;25;1
39.6583;93;28;3
39.6583;89;29;3
39.6583;89;30;0
39.6583;40;24;3
39.6583;43;25;2
39.6583;40;26;2
39.6583;40;27;1
39.6583;41;27;3
39.6583;40;28;0
39.6583;41;28;1
39.6583;41;23;3
39.6583;37;24;1
39.6583;38;24;0
39.6583;39;24;2
39.6583;39;25;1
39.6583;39;26;1
39.6583;39;27;0
39.6583;39;28;0
39.6583;38;23;0
39.6583;39;23;0
39.6667;93;25;2
39.6667;89;26;3
39.6667;95;27;1
39.6667;95;28;1
39.6667;95;29;2
39.6667;94;30;3
39.6667;95;30;1
39.6667;92;31;4
39.6667;93;31;1
39.6667;40;24;1
39.6667;43;24;1
39.6667;40;25;0
39.6667;41;25;1
39.6667;43;25;3
39.6667;40;26;1
39.6667;41;26;2
39.6667;40;27;0
39.6667;41;27;1
39.6667;42;27;3
39.6667;41;28;0
39.6667;42;28;0
39.6667;40;23;1
39.6667;41;23;2
39.6667;37;24;0
39.6667;39;24;1
39.6667;38;25;0
39.6750;96;29;1
39.6750;89;25;0
39.6750;90;25;2
39.6750;94;26;4
39.6750;89;27;3
39.6750;94;27;3
39.6750;95;27;2
39.6750;90;29;3
39.6750;95;29;3
39.6750;94;31;1
39.6750;40;24;0
39.6750;41;24;1
39.6750;43;24;2
39.6750;44;25;1
39.6750;42;25;2
39.6750;40;26;0
39.6750;44;26;2
39.6750;41;26;1
39.6750;42;26;3
39.6750;41;27;0
39.6750;42;27;0
39.6750;43;27;1
39.6750;40;23;0
39.6750;41;23;0
39.6750;39;24;0
39.6750;39;25;0
39.6750;38;26;0
39.6750;37;27;0
39.6833;96;28;2
39.6833;96;29;3
39.6833;96;30;1
39.6833;95;26;2
39.6833;92;28;4
39.6833;89;28;3
39.6833;94;28;2
39.6833;95;28;2
39.6833;89;29;2
39.6833;94;29;4
39.6833;93;30;3
39.6833;90;30;2
39.6833;95;30;2
39.6833;94;31;2
39.6833;44;24;2
39.6833;42;24;1
39.6833;44;25;2
39.6833;41;25;0
39.6833;42;25;1
39.6833;43;25;2
39.6833;44;26;3
39.6833;41;26;0
39.6833;42;26;0
39.6833;43;26;2
39.6833;43;27;0
39.6833;39;26;0
39.6917;96;27;1
39.6917;96;28;3
39.6917;96;29;4
39.6917;96;30;3
39.6917;89;26;2
39.6917;90;26;3
39.6917;95;27;3
39.6917;95;30;3
39.6917;94;31;3
39.6917;95;31;1
39.6917;44;24;3
39.6917;41;24;0
39.6917;42;24;0
39.6917;43;24;1
39.6917;43;25;1
39.6917;44;26;1
39.6917;43;26;0
39.7000;96;27;2
39.7000;90;25;1
39.7000;95;26;3
39.7000;95;29;4
39.7000;90;31;1
39.7000;95;31;2
39.7000;43;24;0
39.7000;44;25;1
39.7000;42;25;0
39.7000;43;25;0
39.7000;44;26;0
39.7083;96;27;3
39.7083;96;28;4
39.7083;97;30;1
39.7083;91;25;3
39.7083;89;26;1
39.7083;89;27;2
39.7083;90;27;3
39.7083;93;28;4
39.7083;89;29;1
39.7083;94;30;4
39.7083;95;31;3
39.7083;44;24;0
39.7083;44;25;0
39.7083;45;25;1
